Frage;Wahl_A;Wahl_B;Wahl_C;Wahl_D;Wahl_E;Antwort;Module;Language;Tags;Year;Answer Verfication;Expanded Date Info;Notes;Explanation;Entry ID;
Dysphagia:;May be pre-hepatic, infra-hepatic, or post-hepatic;Is the sensation of difficulty swallowing food;Is odynophagia;Is a type of cough;None of the above are correct;Is the sensation of difficulty swallowing food;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3582;
All of the following statements regarding nitric oxide are correct except:;It does not have a membrane receptor;In the target cell it activates guanylate cyclase;Causes relaxation of the gastrointestinal smooth muscle;It is produced by the action of nitric oxide which clogs the L-arginine;It acts as an excitatory neurotransmitter in the gastrointestinal system;It acts as an excitatory neurotransmitter in the gastrointestinal system;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3583;
Which of the following corresponds to the action of calcitonin?;Increases bone resorption;It increases the renal excretion of calcium;It increases the reabsorption of phosphates from the renal tubules;Increases renal synthesis of 1-25, dildroxy-cholecalciferol;It increases the absorption of calcium and phosphorus from the gastrointestinal tract;It increases the renal excretion of calcium;Methodology II;EN;;Unknown;Unverified;;B<br><br>Calcitonin generally acts to decrease blood calcium levels.<br><br>A -&nbsp,False, calcitonin <u>inhibits</u>&nbsp,osteoclast activity and bone resorption.<br>B - True, calcitonin <u>inhibits</u> renal tubular cell reabsorption of Ca<sup>2+</sup> and phosphates, meaning there is <u>increased</u>&nbsp,excretion.<br>C - False, see above<br>D - False, calcitonin causes opposite effects to this molecule.<br>E - False, this would increase blood calcium.;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3584;
The lung rattle:;It is a physiological noise;It is the sign of inspiration;It is the sign of exhalation;It is a pathological noise;You never hear it;It is a pathological noise;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3585;
The tactile vocal thrill:;It is induced by the vibrations of the vocal cords that propagate to the air column in the trache and bronchi;It is useful for evaluating thoracic expansibility;It is a percussion technique;It is not affected by laryngeal neoplasms;All of the above;It is induced by the vibrations of the vocal cords that propagate to the air column in the trache and bronchi;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3586;
Which of the following explains why beta-lectam antibiotics are useless against M. pneumoniae?;Its membrane contains sterols;It produces large amounts of β-lettams;It does not have a rigid cell wall;Its cell wall is impervious to these antibiotics;Its membrane contains a high concentration of theic acids;Its cell wall is impervious to these antibiotics;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3587;
In addition to factors II and VII, which of the following are vitamin K dependent clotting factors?;I and IV;III and V;VI and VIII;IX and X;XI and XII;IX and X;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3588;
Which of the following symptoms may accompany gallstones in the bile duct?;Diarrhoea;Melaena;Jaundice;Steatorrhoea;Constipation;Jaundice;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3589;
Which of the following diseases is associated with decreased motility of the fallopian tubes?;Turner syndrome;Noonan syndrome;Kartagener syndrome;Churg Strauss Syndrome;Polycystic ovary syndrome;Kartagener syndrome;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3590;
A 42-year-old woman has a history of a 3rd degree burn to the right leg when she was a girl who did not require a skin transplant. He reports that he suffered trauma to the injury a year ago and the area has never healed since. A biopsy of the wound is performed. Which of the following is the most likely diagnosis?;Keloid;Angiosarcoma;Kaposi's sarcoma;Malignant melanoma;Squamous cell carcinoma;Keloid;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3591;
Which of the following is the predominant LDH isoenzyme in the heart muscle?;LD-1;LD-2;LD-3;LD-4;LD-5;LD-2;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3592;
Orthopnea can be due to:;Left-ventricular disease;Diabetes mellitus;Ulcerative colitis;All of the previous;Wahl E;Left-ventricular disease;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3593;
Which of the following urinary reports can distinguish acute pyelonephritis from acute cystitis?;Wax cylinders;Hyaline cylinders;Fat cylinders;Leukocyte cylinders;Erythrocyte cylinders;Leukocyte cylinders;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3594;
Receptors for mineralocorticoids are found in all of the following structures, except:;Kidney;Colon;Liver;Hippocampus;Monocytes / macrophages;Liver;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3595;
A 45-year-old woman with breast cancer performs a modified radical mastectomy with lymph node dissection. Six weeks later, he comes back complaining of decreased shoulder mobility. At the E.O. the shoulder blade protrudes from the body when pressing the extended arm against the wall. Which of the following was probably damaged by uranium during the operation?;Intercostal;Thoracodorsal;Long thoracic;Lateral breastplate;Medial pectoral;Long thoracic;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3596;
Which of the following drugs is first choice in the treatment of status epilepticus?;Paraldehyde;Intravenous wound;Intravenous Lidocaine;Intravenous pentobarbital;Lorazepam or intravenous diazepam;Lorazepam or intravenous diazepam;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3597;
Which of the following is the prognostic factor most often associated with poor prognosis in breast cancer?;Site of the tumour;Lymph node metastasis;Size of the tumour;Diploid structure of DNA;Negative receptor test for oestrogen and progesterone;Lymph node metastasis;Methodology II;EN;;Unknown;Unverified;;"B or E<br><br><a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4717602/"">https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4717602/</a>";"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3598;
For the LDH tumor marker, choose the type of cancer for which the test is pathognomonic.;Lymphoma;Colon cancer;Prostate Cancer;Osteogenic sarcoma;HCC;Lymphoma;Methodology II;EN;;Unknown;Unverified;;A?;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3599;
Which of the following treatments should be routinely chosen in severe pre-eclampsia homes?;Diuretics;Propanolol;Walking;Sodium restriction;Magnesium sulphate;Magnesium sulphate;Methodology II;EN;;Unknown;Unverified;;"E?<br><br>A&nbsp,Not enough evidence for the use of diuretics for preventing pre-eclampsia. -&nbsp,<a href=""https://www.cochrane.org/CD004451/PREG_diuretics-for-preventing-pre-eclampsia"">https://www.cochrane.org/CD004451/PREG_diuretics-for-preventing-pre-eclampsia</a><br>B - No-one can agree... acceptable under Canadian guidelines.<br>Blood pressure lowering agents like diuretics and propanolol can be used in the treatment of severe pre-eclampsia... but magnesium sulphate is more routine.<br><br>Definitely not C! In mild pre-eclampsia the mother may be asked to lie down to keep blood pressure low. Walking would raise the pressure and increase risk of seizure.<br><br><a href=""https://www.nichd.nih.gov/health/topics/preeclampsia/conditioninfo/treatments"">https://www.nichd.nih.gov/health/topics/preeclampsia/conditioninfo/treatments</a>";"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3600;
A 66-year-old woman who uses a wheelchair and has a history of multiple sclerosis comes to the office complaining of dysuria, frequent urination, intermittent gross haematuria and chronic low back pain. The pain is constant, non-radiating and located over her flanks bilaterally. In the past 12 months she has had three urinary tract infections and one hospitalisation for acute pyelonephritis of the left kidney. She also has arthritis, hypertension controlled with an ACE inhibitor, and a hysterectomy performed 25 years ago for fibroids. On physical examination in the office she is in no distress. Vitals show BP of 130/70 mm Hg, pulse of 85 beats per minute, and respirations of 12 per minute. Heart and lung examinations are within normal limits. Her abdomen is soft and non-distended without guarding and there is mild bilateral costovertebral angle tenderness. Pelvic and rectal examinations are normal. Urinalysis revealed urine sedimentation, a pH of 8.0, leukocyte esterase positive, nitrite positive, WBC 75‚Äì90/HPF, RBC 30‚Äì40/HPF. A KUB radiograph was done, which showed large calcifications in both kidneys. What is the most likely composition of these calcifications?;Calcium oxalate dehydrate.;Calcium oxalate monohydrate.;Cystine.;Magnesium-ammonium-phosphate.;Uric acid.;Magnesium-ammonium-phosphate.;Methodology II;EN;;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3601;
Which of the following conditions least interfere with normal wound healing?;Malnutrition;Corticosteroids;Diabetes mellitus;Zinc deficiency;A hemoglobin of 8 g / dl;Malnutrition;Methodology II;EN;;Unknown;Unverified;;"A ? but depends on severity?<br><br>A&nbsp,<br>B -&nbsp,<a href=""https://www.sciencedirect.com/science/article/abs/pii/S0002961013002213"">https://www.sciencedirect.com/science/article/abs/pii/S0002961013002213</a><br>C<br>D<br>E";"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3602;
